True [4.0, 164.4915254237288]
True [-5.0, -247.94915254237287]
True [-5.0, -283.66101694915255]
False [95.0, -275.135593220339]
False [45.0, -275.135593220339]
False [-293.23728813559325, 249.5762711864407]
True [55.610169491525426, 24.06779661016949]
False [-94.23728813559322, 46.57627118644068]
True [6.76271186440678, 513.3220338983051]
False [-94.23728813559322, 298.49152542372883]
True [5.610169491525424, 117.32203389830508]
False [-143.23728813559322, 215.15254237288136]
False [-44.389830508474574, 117.32203389830508]
False [-93.23728813559322, 302.5762711864407]
True [55.610169491525426, 156.40677966101694]
False [-294.23728813559325, 203.5762711864407]
False [45.52542372881356, -228.38983050847457]
True [-3.7796610169491522, -232.52542372881356]
True [-1.4745762711864403, -228.38983050847457]
True [-299.1694915254237, -234.66101694915255]
False [104.13559322033899, -231.59322033898306]
True [-203.47457627118644, -282.45762711864404]
True [-256.08474576271186, -291.52542372881356]
True [-195.5593220338983, -282.79661016949154]
False [593.9152542372881, -283.45762711864404]
False [-294.23728813559325, 264.3220338983051]
True [-195.5593220338983, -475.3898305084746]
False [296.52542372881356, -342.59322033898303]
True [-203.47457627118644, -282.45762711864404]
True [-256.08474576271186, -291.52542372881356]
False [593.9152542372881, -283.45762711864404]
True [10.203389830508476, 1067.542372881356]
False [-195.25423728813558, 672.6440677966102]
False [-294.7118644067797, 669.2033898305085]
True [257.2881355932203, 706.542372881356]
False [-295.2542372881356, 554.542372881356]
False [-142.25423728813558, 407.54237288135596]
True [257.2881355932203, 913.7627118644068]
True [551.0508474576271, 212.61016949152543]
True [745.4406779661017, 210.98305084745763]
True [352.4406779661017, 163.23728813559322]
True [847.4406779661017, 182.84745762711864]
True [105.27118644067797, 182.84745762711864]
False [-138.1864406779661, 1721.7796610169491]
True [508.5762711864407, 1068.2033898305085]
True [461.33898305084745, 1061.2033898305085]
False [-138.1864406779661, 1721.7796610169491]
True [360.40677966101697, 1164.3898305084747]
True [459.40677966101697, 1126.7796610169491]
False [-289.59322033898303, 1112.7457627118645]
False [-1654.3389830508474, 910.0677966101695]
False [-1742.593220338983, 80.45762711864407]
True [573.542372881356, 2269.64406779661]
True [813.4067796610169, 2079.3050847457625]
True [614.4067796610169, 1884.135593220339]
True [317.54237288135596, 1902.1525423728813]
True [176.61016949152543, 1870.6440677966102]
True [670.4745762711865, 2372.3050847457625]
True [277.6779661016949, 2167.64406779661]
True [414.47457627118644, 2056.9830508474574]
True [813.4067796610169, 2079.3050847457625]
True [760.3220338983051, 1569.8813559322034]
True [663.542372881356, 1545.7966101694915]
True [2349.8813559322034, 1564.9322033898304]
True [765.7627118644068, 1569.8813559322034]
False [-700.1186440677966, 1569.864406779661]
False [-792.6779661016949, 893.7796610169491]
True [979.3559322033898, 2297.898305084746]
True [470.23728813559325, 2306.677966101695]
True [872.9830508474577, 1988.7627118644068]
True [78.72881355932203, 2028.3559322033898]
True [718.6101694915254, 2014.949152542373]
True [979.3559322033898, 2574.084745762712]
True [1377.7288135593221, 2066.4406779661017]
True [2518.2033898305085, 2045.8813559322034]
True [977.728813559322, 2044.457627118644]
True [829.728813559322, 2040.1694915254238]
True [1079.2542372881355, 2034.1694915254238]
True [925.2033898305085, 2035.1694915254238]
True [1088.8305084745762, 1997.7457627118645]
True [1478.2542372881355, 2181.3050847457625]
True [1180.2542372881355, 2137.8813559322034]
True [3080.101694915254, 4684.406779661017]
True [1679.7457627118645, 3526.084745762712]
True [3080.101694915254, 4684.406779661017]
True [4635.135593220339, 4250.118644067797]
True [2930.4745762711864, 4245.118644067797]
True [3025.64406779661, 4200.118644067797]
True [3180.3050847457625, 4241.932203389831]
True [3191.7966101694915, 4206.3050847457625]
True [3281.3050847457625, 4240.525423728814]
True [3078.4745762711864, 4243.525423728814]
True [3478.4745762711864, 4183.745762711865]
False [-1529.3559322033898, 388.52542372881356]
True [4838.830508474576, 5471.932203389831]
True [4539.813559322034, 4894.203389830508]
True [4641.4915254237285, 4348.881355932203]
True [4390.4915254237285, 4344.779661016949]
True [4936.4915254237285, 4348.779661016949]
True [4699.457627118644, 4861.71186440678]
True [4802.169491525424, 4060.8218166014776]
True [4440.932203389831, 4273.274228596263]
True [4631.71186440678, 3461.1616688396352]
True [3931.9661016949153, 3460.1447196870927]
True [5441.983050847458, 4918.1629726206]
True [5638.457627118644, 4035.282485875706]
True [4932.406779661017, 4001.191655801825]
True [2904.6371142981316, 1716.9348109517616]
True [2583.6701434159063, 1213.7488048674484]
True [2640.4393741851372, 932.7231638418074]
True [2434.747066492829, 1213.7488048674484]
True [2101.5840938722295, 1213.7488048674484]
True [2620.8496305953936, 1108.3641894828331]
True [575.5840938722295, 618.5693176879614]
True [1768.6957844415472, 609.5436766623204]
True [2004.2777053455025, 1068.1038678835287]
True [2542.200782268579, 790.565406345067]
False [2175.545415036941, -20000000000.0]
True [2167.2633637548897, 80000000000.0]
True [2064.314645806172, 40000000000.0]
True [1679.365927857454, 40000000000.0]
False [1569.1351586266846, 0.0]
True [679.7696653628859, 80000000000.0]
True [1666.482398956976, 220000000000.0]
True [2124.4311169056946, 80000000000.0]
True [470.04128639721887, 220000000000.0]
True [552.7388092133858, 80000000000.0]
True [1617.277270751848, 240000000000.0]
True [2177.6618861364636, 40000000000.0]
True [1365.2003476749246, 40000000000.0]
False [1240.3233376792707, 0.0]
True [1709.6618861364634, 300000000000.0]
False [2155.5593220338997, -20000000000.0]
True [1249.550195567146, 160000000000.0]
True [1246.7809647979152, 220000000000.0]
True [925.2425032594532, 200000000000.0]
True [1342.1655801825307, 200000000000.0]
